date,Unnamed: 0,全体,機械棟変電所,機能材料変電所,建設工学１号館変電所,応用化学２号館変電所,本部変電所,地域共同変電所,教養学部変電所,理学部３号館変電所,理学部２号館変電所,電気電子１号変電所,情報工学科棟変電所,情報分析センタ－変電所,大学会館変電所,図書館変電所,廃液処理施設変電所,教育学部変電所,体育施設変電所,経済学部変電所,総合研究棟変電所,time
2022-04-01,54,6630.0,410.0,250.0,550.0,330.0,100.0,100.0,800.0,1200.0,250.0,210.0,30.0,310.0,190.0,210.0,10.0,640.0,70.0,70.0,470.0,58
2022-04-02,150,3890.0,140.0,120.0,350.0,140.0,0.0,50.0,300.0,970.0,150.0,160.0,30.0,230.0,90.0,10.0,0.0,350.0,100.0,30.0,300.0,58
2022-04-03,246,4130.0,120.0,120.0,400.0,150.0,50.0,40.0,300.0,880.0,140.0,170.0,30.0,230.0,200.0,20.0,0.0,310.0,110.0,70.0,310.0,58
2022-04-04,342,8920.0,440.0,340.0,590.0,450.0,190.0,110.0,1100.0,1410.0,330.0,320.0,40.0,340.0,320.0,270.0,10.0,1090.0,140.0,160.0,680.0,58
2022-04-05,438,7530.0,360.0,270.0,570.0,410.0,110.0,100.0,900.0,1300.0,240.0,290.0,40.0,300.0,320.0,240.0,0.0,850.0,100.0,90.0,510.0,58
2022-04-06,534,5990.0,210.0,240.0,410.0,330.0,40.0,100.0,600.0,1170.0,200.0,210.0,40.0,310.0,170.0,180.0,0.0,640.0,70.0,60.0,480.0,58
2022-04-07,630,6570.0,330.0,240.0,440.0,340.0,120.0,100.0,700.0,1150.0,220.0,240.0,40.0,330.0,310.0,210.0,0.0,590.0,140.0,100.0,480.0,58
2022-04-08,726,6010.0,190.0,220.0,430.0,320.0,60.0,90.0,700.0,1160.0,200.0,220.0,30.0,300.0,240.0,180.0,10.0,590.0,80.0,60.0,460.0,58
2022-04-09,822,3610.0,100.0,110.0,330.0,130.0,0.0,60.0,400.0,780.0,130.0,130.0,20.0,240.0,170.0,10.0,10.0,260.0,100.0,20.0,320.0,58
2022-04-10,918,3670.0,280.0,100.0,320.0,130.0,0.0,50.0,300.0,830.0,120.0,120.0,30.0,250.0,110.0,30.0,10.0,270.0,80.0,10.0,290.0,58
2022-04-11,1014,6660.0,310.0,200.0,440.0,260.0,70.0,100.0,700.0,1190.0,210.0,260.0,30.0,310.0,470.0,180.0,0.0,760.0,20.0,90.0,490.0,58
2022-04-12,1110,7160.0,390.0,240.0,500.0,350.0,70.0,100.0,700.0,1230.0,210.0,300.0,40.0,350.0,500.0,180.0,0.0,790.0,50.0,120.0,500.0,58
2022-04-13,1206,7670.0,430.0,300.0,470.0,410.0,70.0,110.0,800.0,1340.0,230.0,380.0,30.0,320.0,520.0,190.0,0.0,880.0,60.0,120.0,510.0,58
