,教養学部変電所,教育学部変電所,経済学部変電所
0,100.0,70.0,10.0
1,0.0,60.0,10.0
2,100.0,60.0,10.0
3,100.0,60.0,10.0
4,100.0,60.0,20.0
5,100.0,60.0,10.0
6,100.0,60.0,10.0
7,100.0,70.0,10.0
8,100.0,90.0,20.0
9,200.0,120.0,20.0
10,200.0,160.0,20.0
11,200.0,180.0,10.0
12,200.0,180.0,20.0
13,200.0,160.0,20.0
14,200.0,150.0,10.0
15,200.0,150.0,20.0
16,200.0,130.0,20.0
17,200.0,110.0,20.0
18,100.0,110.0,30.0
19,100.0,90.0,20.0
20,100.0,80.0,10.0
21,200.0,70.0,20.0
22,0.0,70.0,20.0
23,100.0,60.0,10.0
24,100.0,70.0,10.0
25,100.0,50.0,10.0
26,100.0,60.0,10.0
27,100.0,60.0,10.0
28,100.0,60.0,20.0
29,100.0,60.0,10.0
30,0.0,60.0,10.0
31,100.0,60.0,0.0
32,100.0,60.0,10.0
33,100.0,70.0,0.0
34,100.0,80.0,0.0
35,100.0,80.0,0.0
36,100.0,90.0,10.0
37,100.0,90.0,0.0
38,100.0,80.0,10.0
39,0.0,90.0,10.0
40,100.0,80.0,10.0
41,100.0,70.0,10.0
42,100.0,80.0,10.0
43,100.0,60.0,10.0
44,100.0,70.0,20.0
45,100.0,60.0,10.0
46,100.0,60.0,10.0
47,0.0,60.0,10.0
48,100.0,70.0,10.0
49,100.0,50.0,20.0
50,100.0,60.0,10.0
51,100.0,60.0,10.0
52,0.0,50.0,10.0
53,100.0,60.0,10.0
54,100.0,60.0,10.0
55,100.0,60.0,10.0
56,100.0,60.0,10.0
57,100.0,60.0,10.0
58,100.0,70.0,10.0
59,100.0,70.0,10.0
60,0.0,70.0,20.0
61,100.0,80.0,20.0
62,100.0,70.0,10.0
63,100.0,90.0,20.0
64,100.0,80.0,20.0
65,100.0,100.0,20.0
66,100.0,80.0,10.0
67,100.0,80.0,20.0
68,100.0,60.0,20.0
69,100.0,60.0,10.0
70,0.0,60.0,20.0
71,100.0,60.0,10.0
72,100.0,70.0,10.0
73,100.0,60.0,10.0
74,100.0,50.0,20.0
75,100.0,60.0,10.0
76,100.0,60.0,10.0
77,0.0,60.0,10.0
78,100.0,70.0,20.0
79,100.0,80.0,10.0
80,200.0,90.0,10.0
81,200.0,160.0,20.0
82,300.0,270.0,30.0
83,300.0,270.0,40.0
84,200.0,280.0,40.0
85,300.0,280.0,40.0
86,300.0,270.0,40.0
87,300.0,260.0,40.0
88,200.0,200.0,40.0
89,200.0,170.0,30.0
90,200.0,140.0,30.0
91,100.0,100.0,20.0
92,100.0,80.0,20.0
93,100.0,80.0,20.0
94,100.0,70.0,20.0
95,100.0,70.0,10.0
96,100.0,70.0,10.0
97,100.0,80.0,10.0
98,100.0,60.0,20.0
99,100.0,80.0,10.0
100,100.0,60.0,10.0
101,100.0,70.0,20.0
102,0.0,60.0,10.0
103,200.0,70.0,10.0
104,100.0,90.0,10.0
105,200.0,170.0,20.0
106,300.0,230.0,20.0
107,200.0,230.0,20.0
108,200.0,250.0,20.0
109,300.0,210.0,30.0
110,200.0,200.0,20.0
111,200.0,190.0,20.0
112,200.0,150.0,20.0
113,200.0,140.0,20.0
114,100.0,120.0,20.0
115,100.0,90.0,20.0
116,200.0,90.0,20.0
117,100.0,70.0,10.0
118,100.0,70.0,20.0
119,0.0,70.0,10.0
120,100.0,60.0,10.0
121,100.0,70.0,10.0
122,100.0,60.0,10.0
123,100.0,70.0,10.0
124,100.0,60.0,20.0
125,100.0,60.0,10.0
126,100.0,70.0,10.0
127,100.0,70.0,10.0
128,100.0,90.0,10.0
129,100.0,120.0,10.0
130,200.0,160.0,10.0
131,200.0,190.0,20.0
132,200.0,180.0,10.0
133,100.0,160.0,10.0
134,200.0,150.0,20.0
135,100.0,150.0,20.0
136,200.0,160.0,20.0
137,100.0,140.0,10.0
138,100.0,120.0,20.0
139,200.0,100.0,20.0
140,100.0,70.0,10.0
141,100.0,80.0,20.0
142,0.0,60.0,10.0
143,100.0,60.0,10.0
144,100.0,60.0,20.0
145,100.0,60.0,10.0
146,100.0,60.0,10.0
147,100.0,60.0,10.0
148,100.0,60.0,10.0
149,100.0,70.0,10.0
150,0.0,60.0,10.0
151,200.0,70.0,20.0
152,100.0,80.0,10.0
153,200.0,110.0,10.0
154,100.0,150.0,10.0
155,200.0,160.0,20.0
156,200.0,160.0,20.0
157,100.0,150.0,30.0
158,200.0,140.0,20.0
159,200.0,140.0,30.0
160,200.0,130.0,20.0
161,100.0,120.0,20.0
162,200.0,100.0,10.0
163,100.0,90.0,20.0
164,100.0,80.0,10.0
165,100.0,70.0,10.0
166,100.0,60.0,20.0
167,100.0,70.0,10.0
168,0.0,60.0,10.0
169,100.0,50.0,10.0
170,100.0,60.0,10.0
171,100.0,60.0,10.0
172,100.0,60.0,10.0
173,100.0,60.0,10.0
174,100.0,60.0,10.0
175,100.0,70.0,10.0
176,100.0,70.0,0.0
177,100.0,90.0,10.0
178,200.0,150.0,10.0
179,200.0,160.0,10.0
180,200.0,160.0,20.0
181,100.0,150.0,10.0
182,200.0,140.0,10.0
183,200.0,140.0,20.0
184,100.0,110.0,20.0
185,200.0,100.0,10.0
186,100.0,90.0,20.0
187,100.0,80.0,10.0
188,100.0,70.0,20.0
189,100.0,70.0,10.0
190,0.0,60.0,10.0
191,100.0,60.0,10.0
192,100.0,60.0,10.0
193,100.0,60.0,20.0
194,100.0,60.0,10.0
195,100.0,60.0,10.0
196,0.0,60.0,10.0
197,100.0,60.0,10.0
198,100.0,60.0,10.0
199,100.0,60.0,0.0
200,100.0,60.0,10.0
201,100.0,70.0,0.0
202,100.0,60.0,0.0
203,0.0,70.0,0.0
204,100.0,60.0,0.0
205,100.0,70.0,0.0
206,100.0,60.0,10.0
207,100.0,70.0,10.0
208,100.0,80.0,10.0
209,100.0,70.0,10.0
210,0.0,70.0,20.0
211,100.0,70.0,10.0
212,100.0,60.0,10.0
213,100.0,60.0,10.0
214,100.0,60.0,10.0
215,100.0,60.0,10.0
216,0.0,60.0,10.0
217,100.0,60.0,10.0
218,100.0,60.0,10.0
219,100.0,60.0,10.0
220,0.0,60.0,10.0
221,100.0,60.0,10.0
222,100.0,60.0,10.0
223,100.0,60.0,10.0
224,100.0,60.0,0.0
225,0.0,70.0,0.0
226,100.0,60.0,0.0
227,100.0,60.0,0.0
228,100.0,70.0,0.0
229,100.0,70.0,0.0
230,100.0,60.0,0.0
231,0.0,70.0,10.0
232,100.0,60.0,10.0
233,100.0,70.0,10.0
234,100.0,70.0,10.0
235,100.0,60.0,10.0
236,100.0,70.0,10.0
237,0.0,60.0,10.0
238,100.0,70.0,10.0
239,100.0,60.0,10.0
240,100.0,60.0,10.0
241,0.0,60.0,10.0
242,100.0,60.0,10.0
243,100.0,60.0,10.0
244,100.0,60.0,10.0
245,0.0,60.0,10.0
246,100.0,70.0,10.0
247,100.0,60.0,10.0
248,100.0,90.0,10.0
249,200.0,170.0,10.0
250,200.0,200.0,10.0
251,200.0,200.0,20.0
252,200.0,220.0,20.0
253,200.0,210.0,20.0
254,200.0,180.0,30.0
255,100.0,150.0,20.0
256,200.0,140.0,30.0
257,200.0,120.0,30.0
258,100.0,100.0,30.0
259,100.0,100.0,20.0
260,100.0,70.0,30.0
261,100.0,80.0,10.0
262,100.0,70.0,20.0
263,0.0,70.0,10.0
264,100.0,70.0,10.0
265,100.0,70.0,10.0
266,100.0,60.0,10.0
267,0.0,60.0,10.0
268,100.0,70.0,20.0
269,100.0,60.0,10.0
270,100.0,70.0,10.0
271,100.0,80.0,10.0
272,100.0,90.0,10.0
273,100.0,160.0,10.0
274,200.0,190.0,20.0
275,200.0,190.0,10.0
276,200.0,220.0,30.0
277,200.0,210.0,20.0
278,200.0,190.0,30.0
279,100.0,170.0,40.0
280,200.0,150.0,30.0
281,200.0,130.0,20.0
282,100.0,120.0,20.0
283,100.0,90.0,20.0
284,100.0,80.0,20.0
285,100.0,80.0,20.0
286,100.0,70.0,10.0
287,0.0,60.0,10.0
288,100.0,60.0,10.0
289,100.0,70.0,10.0
290,100.0,60.0,10.0
291,0.0,60.0,20.0
292,100.0,60.0,10.0
