,本部変電所,地域共同変電所,大学会館変電所,図書館変電所,体育施設変電所
0,10.0,10.0,30.0,10.0,10.0
1,20.0,10.0,20.0,0.0,10.0
2,10.0,10.0,30.0,10.0,10.0
3,20.0,10.0,20.0,10.0,0.0
4,20.0,10.0,30.0,0.0,10.0
5,10.0,10.0,20.0,10.0,10.0
6,20.0,10.0,30.0,10.0,10.0
7,20.0,10.0,40.0,10.0,20.0
8,60.0,20.0,40.0,30.0,20.0
9,60.0,30.0,50.0,60.0,20.0
10,50.0,20.0,60.0,50.0,30.0
11,30.0,30.0,60.0,60.0,10.0
12,20.0,30.0,60.0,50.0,20.0
13,20.0,20.0,40.0,50.0,10.0
14,30.0,20.0,50.0,50.0,20.0
15,30.0,30.0,40.0,60.0,20.0
16,20.0,20.0,50.0,50.0,30.0
17,40.0,20.0,50.0,10.0,30.0
18,30.0,20.0,50.0,10.0,40.0
19,30.0,20.0,40.0,10.0,30.0
20,20.0,10.0,30.0,10.0,30.0
21,30.0,20.0,30.0,10.0,10.0
22,20.0,10.0,30.0,10.0,10.0
23,10.0,10.0,20.0,10.0,0.0
24,20.0,10.0,20.0,0.0,10.0
25,10.0,10.0,30.0,10.0,10.0
26,20.0,10.0,20.0,10.0,0.0
27,10.0,10.0,30.0,10.0,10.0
28,20.0,10.0,20.0,0.0,10.0
29,10.0,10.0,30.0,10.0,0.0
30,10.0,10.0,30.0,10.0,10.0
31,10.0,10.0,20.0,0.0,0.0
32,0.0,10.0,20.0,0.0,10.0
33,0.0,10.0,20.0,0.0,20.0
34,0.0,10.0,20.0,10.0,30.0
35,0.0,10.0,20.0,10.0,30.0
36,0.0,10.0,20.0,0.0,30.0
37,0.0,20.0,20.0,0.0,20.0
38,0.0,10.0,30.0,0.0,30.0
39,0.0,10.0,20.0,10.0,20.0
40,10.0,10.0,40.0,0.0,20.0
41,10.0,10.0,30.0,10.0,30.0
42,20.0,20.0,40.0,10.0,20.0
43,20.0,10.0,30.0,10.0,30.0
44,10.0,0.0,20.0,10.0,10.0
45,20.0,10.0,30.0,0.0,10.0
46,10.0,10.0,30.0,10.0,0.0
47,20.0,10.0,20.0,10.0,10.0
48,10.0,10.0,20.0,10.0,10.0
49,20.0,10.0,30.0,0.0,0.0
50,10.0,10.0,20.0,10.0,10.0
51,20.0,20.0,30.0,10.0,10.0
52,10.0,10.0,20.0,10.0,0.0
53,20.0,10.0,30.0,0.0,10.0
54,10.0,0.0,30.0,10.0,10.0
55,10.0,10.0,20.0,10.0,0.0
